Thu Jul 11 15:42:32 2013,,,,,
2874776,600,75193080,,,
2874860,675,75193755,,,
2875922,450,75194205,,,
2876014,450,75194655,,,
2877102,975,75195630,,,
2877616,1800,75197430,,,
2877652,909,75198339,,,
2878484,525,75198864,,,
2878576,675,75199539,,,
2879916,1425,75200964,,,
2879960,1350,75202314,,,
2880792,450,75202764,,,
2880876,600,75203364,,,
2882326,675,75204039,,,
2882410,600,75204639,,,
2883498,2049,75206688,,,
2883542,900,75207588,,,
2883873,450,75208038,,,
2883933,525,75208563,,,
2885021,1200,75209763,,,
2885089,900,75210663,,,
2886559,975,75211638,,,
2886627,825,75212463,,,
2887459,675,75213138,,,
2887519,975,75214113,,,
2888423,750,75214863,,,
2889255,525,75215388,,,
2889307,825,75216213,,,
2889765,525,75216738,,,
2889817,750,75217488,,,
2890981,825,75218313,,,
2892575,2400,75220713,,,
2892643,1650,75222363,,,
2893731,675,75223038,,,
2893791,600,75223638,,,
2894241,600,75224238,,,
2894301,450,75224688,,,
2895133,1200,75225888,,,
2895201,600,75226488,,,
2896037,450,75226938,,,
2896089,675,75227613,,,
2896921,825,75228438,,,
2898459,975,75229413,,,
2899623,600,75230013,,,
2899675,825,75230838,,,
2900223,675,75231513,,,
2901059,1800,75233313,,,
2902593,825,75234138,,,
2903681,450,75234588,,,
2903805,825,75235413,,,
2904889,1125,75236538,,,
2904901,750,75237288,,,
2905989,675,75237963,,,
2906105,975,75238938,,,
2906503,825,75239763,,,
2906619,600,75240363,,,
2907451,1350,75241713,,,
2907463,1425,75243138,,,
2908861,975,75244113,,,
2909697,450,75244563,,,
2910211,750,75245313,,,
2910335,450,75245763,,,
2911423,1200,75246963,,,
2912519,825,75247788,,,
2912635,825,75248613,,,
2913723,750,75249363,,,
2913735,900,75250263,,,
2915257,1350,75251613,,,
2915269,825,75252438,,,
2916101,825,75253263,,,
2916217,600,75253863,,,
2916798,675,75254538,,,
2916802,675,75255213,,,
2917634,1050,75256263,,,
2917758,825,75257088,,,
2919168,1575,75258663,,,
2919292,1200,75259863,,,
2920380,450,75260313,,,
2920384,450,75260763,,,
2920964,1950,75262713,,,
2922168,450,75263163,,,
2922682,1425,75264588,,,
2922694,900,75265488,,,
2923526,1350,75266838,,,
2925440,825,75267663,,,
2925564,825,75268488,,,
2926396,450,75268938,,,
2926400,600,75269538,,,
2926910,975,75270513,,,
2926914,675,75271188,,,
2928002,825,75272013,,,
2928126,1725,75273738,,,
2928710,975,75274713,,,
2929914,1575,75276288,,,
2931448,750,75277038,,,
2932280,450,75277488,,,
2932292,1125,75278613,,,
2932765,525,75279138,,,
2932833,900,75280038,,,
2933921,1275,75281313,,,
2935459,1350,75282663,,,
2936351,900,75283563,,,
2936419,975,75284538,,,
2937767,1275,75285813,,,
2937819,600,75286413,,,
2938651,450,75286863,,,
2938727,675,75287538,,,
2939161,450,75287988,,,
2939237,600,75288588,,,
2940325,975,75289563,,,
2940377,600,75290163,,,
2941535,900,75291063,,,
2942623,600,75291663,,,
2942691,825,75292488,,,
2943133,675,75293163,,,
2943201,1275,75294438,,,
2944093,1050,75295488,,,
2945433,525,75296013,,,
2945509,450,75296463,,,
2946341,1050,75297513,,,
2946393,1350,75298863,,,
2947879,1050,75299913,,,
2947931,975,75300888,,,
2949019,525,75301413,,,
2949095,675,75302088,,,
2949751,825,75302913,,,
2950859,825,75303738,,,
2951349,975,75304713,,,
2951369,1725,75306438,,,
2952309,1650,75308088,,,
2953649,975,75309063,,,
2953677,825,75309888,,,
2954509,1200,75311088,,,
2954609,1575,75312663,,,
2956047,975,75313638,,,
2956147,975,75314613,,,
2957235,975,75315588,,,
2957263,675,75316263,,,
2957365,975,75317238,,,
2958473,1350,75318588,,,
2960011,1200,75319788,,,
2960951,1425,75321213,,,
2960971,975,75322188,,,
2962319,1425,75323613,,,
2962419,900,75324513,,,
2963251,900,75325413,,,
2963279,900,75326313,,,
2963761,975,75327288,,,
2963789,675,75327963,,,
2964877,900,75328863,,,
2964977,1125,75329988,,,
2966441,900,75330888,,,
2966485,1125,75332013,,,
2967317,600,75332613,,,
2967401,825,75333438,,,
2967831,975,75334413,,,
2967915,675,75335088,,,
2969003,1350,75336438,,,
2969047,900,75337338,,,
2969619,675,75338013,,,
2969711,600,75338613,,,
2970835,1500,75340113,,,
2972369,1650,75341763,,,
2973201,600,75342363,,,
2973293,900,75343263,,,
2974103,975,75344238,,,
2974187,600,75344838,,,
2975019,675,75345513,,,
2975063,1425,75346938,,,
2976553,1875,75348813,,,
2976597,1350,75350163,,,
2977685,450,75350613,,,
2977769,600,75351213,,,
2978349,975,75352188,,,
2979473,675,75352863,,,
2979565,675,75353538,,,
2979987,1200,75354738,,,
2980079,600,75355338,,,
2980911,1125,75356463,,,
2982550,2100,75358563,,,
2983466,525,75359088,,,
2983510,825,75359913,,,
2983980,1500,75361413,,,
2984024,825,75362238,,,
2985112,900,75363138,,,
2986288,675,75363813,,,
2986324,675,75364488,,,
2987412,600,75365088,,,
2987504,1425,75366513,,,
2988946,1350,75367863,,,
2989038,1725,75369588,,,
2989870,975,75370563,,,
2989906,975,75371538,,,
2990252,450,75371988,,,
2990296,975,75372963,,,
2991212,600,75373563,,,
2992746,1425,75374988,,,
2993834,825,75375813,,,
2993878,1125,75376938,,,
2994962,1650,75378588,,,
2995054,900,75379488,,,
2996142,600,75380088,,,
2996178,825,75380913,,,
2996656,900,75381813,,,
2996692,525,75382338,,,
2997524,750,75383088,,,
2997616,1125,75384213,,,
2999096,1350,75385563,,,
2999116,750,75386313,,,
3000204,675,75386988,,,
3000312,675,75387663,,,
3000714,975,75388638,,,
3000822,825,75389463,,,
3001654,2700,75392163,,,
3001674,825,75392988,,,
3002510,600,75393588,,,
3003442,1425,75395013,,,
3004980,1125,75396138,,,
3006096,975,75397113,,,
3006196,825,75397938,,,
3006730,675,75398613,,,
3006838,825,75399438,,,
3007926,2325,75401763,,,
3007946,2475,75404238,,,
3009464,1650,75405888,,,
3009484,750,75406638,,,
3010316,450,75407088,,,
3010424,525,75407613,,,
3011280,825,75408438,,,
3012212,975,75409413,,,
3012622,675,75410088,,,
3012722,750,75410838,,,
3013838,1050,75411888,,,
3014029,1,75411889,,,
3014030,1063,75412952,,,
3014923,975,75413927,,,
3015031,675,75414602,,,
3016119,750,75415352,,,
3016139,1200,75416552,,,
3017653,1200,75417752,,,
3017673,750,75418502,,,
3017770,227,75418729,,,
3018505,825,75419554,,,
3018613,675,75420229,,,
3019441,1200,75421429,,,
3020301,1275,75422704,,,
3020401,975,75423679,,,
3020815,675,75424354,,,
3022003,975,75425329,,,
3023669,1125,75426454,,,
3023689,825,75427279,,,
3024777,825,75428104,,,
3024885,825,75428929,,,
3025291,975,75429904,,,
3025399,975,75430879,,,
3026231,750,75431629,,,
3026251,900,75432529,,,
3027087,825,75433354,,,
3027187,1650,75435004,,,
3028047,825,75435829,,,
3029581,1125,75436954,,,
3030769,825,75437779,,,
3031209,1425,75439204,,,
3031253,450,75439654,,,
3032085,900,75440554,,,
3033623,1125,75441679,,,
3034795,525,75442204,,,
3034839,675,75442879,,,
3035923,1125,75444004,,,
3036015,1950,75445954,,,
3037103,600,75446554,,,
3037139,675,75447229,,,
3037613,825,75448054,,,
3037649,600,75448654,,,
3038481,1125,75449779,,,
3038573,900,75450679,,,
3039979,825,75451504,,,
3040811,600,75452104,,,
3040855,975,75453079,,,
3041321,600,75453679,,,
3041365,450,75454129,,,
3042537,1125,75455254,,,
3043629,975,75456229,,,
3043665,825,75457054,,,
3044753,900,75457954,,,
3044845,1650,75459604,,,
3046291,1425,75461029,,,
3046383,1725,75462754,,,
3047215,600,75463354,,,
3047251,975,75464329,,,
3047830,900,75465229,,,
3047914,675,75465904,,,
3048746,2250,75468154,,,
3048790,1350,75469504,,,
3050284,750,75470254,,,
3050328,975,75471229,,,
3051416,675,75471904,,,
3051500,675,75472579,,,
3052116,900,75473479,,,
3053204,825,75474304,,,
3053296,1800,75476104,,,
3053714,675,75476779,,,
3053806,825,75477604,,,
3054674,2175,75479779,,,
3056556,1350,75481129,,,
3056600,825,75481954,,,
3057432,975,75482929,,,
3057516,675,75483604,,,
3057942,675,75484279,,,
3058026,675,75484954,,,
3059114,1275,75486229,,,
3059158,900,75487129,,,
3059730,1425,75488554,,,
3059822,675,75489229,,,
3060910,900,75490129,,,
3062448,1275,75491404,,,
3063316,450,75491854,,,
3063408,825,75492679,,,
3063864,825,75493504,,,
3063884,750,75494254,,,
3065080,1875,75496129,,,
3066614,2325,75498454,,,
3067466,975,75499429,,,
3068814,1125,75500554,,,
3068914,1200,75501754,,,
3069746,525,75502279,,,
3069774,450,75502729,,,
3070260,675,75503404,,,
3070288,825,75504229,,,
3071376,675,75504904,,,
3071476,900,75505804,,,
3072522,975,75506779,,,
3073718,1500,75508279,,,
3073738,825,75509104,,,
3074232,450,75509554,,,
3075084,1425,75510979,,,
3076532,900,75511879,,,
3076560,825,75512704,,,
3077392,900,75513604,,,
3077492,1350,75514954,,,
3078926,750,75515704,,,
3079026,900,75516604,,,
3080114,450,75517054,,,
3080142,450,75517504,,,
3080738,1050,75518554,,,
3081886,450,75519004,,,
3081954,600,75519604,,,
3082400,825,75520429,,,
3082468,525,75520954,,,
3083300,900,75521854,,,
3084700,975,75522829,,,
3084776,825,75523654,,,
3085608,1275,75524929,,,
3085660,600,75525529,,,
3087142,900,75526429,,,
3087194,975,75527404,,,
3088282,450,75527854,,,
3088358,675,75528529,,,
3088416,675,75529204,,,
3088484,1200,75530404,,,
3089632,825,75531229,,,
3091166,1350,75532579,,,
3091998,600,75533179,,,
3092066,675,75533854,,,
3093414,900,75534754,,,
3093466,675,75535429,,,
3094298,600,75536029,,,
3094374,450,75536479,,,
3094812,900,75537379,,,
3094888,450,75537829,,,
3095976,1050,75538879,,,
3096028,1200,75540079,,,
3097476,1275,75541354,,,
3097600,825,75542179,,,
3098432,600,75542779,,,
3098436,675,75543454,,,
3098942,600,75544054,,,
3098946,600,75544654,,,
3100034,675,75545329,,,
3100158,900,75546229,,,
3100730,1425,75547654,,,
3100742,975,75548629,,,
3101830,1425,75550054,,,
3103368,1050,75551104,,,
3104316,675,75551779,,,
3105214,450,75552229,,,
3105218,525,75552754,,,
3106050,900,75553654,,,
3106174,2475,75556129,,,
3107588,825,75556954,,,
3107712,750,75557704,,,
3108800,450,75558154,,,
3108804,450,75558604,,,
3109500,750,75559354,,,
3110588,675,75560029,,,
3110600,1500,75561529,,,
3111110,675,75562204,,,
3112058,1500,75563704,,,
3113667,825,75564529,,,
3114499,525,75565054,,,
3114623,1200,75566254,,,
3115133,600,75566854,,,
3116225,600,75567454,,,
3117317,525,75567979,,,
3117433,450,75568429,,,
3118521,825,75569254,,,
3118533,1425,75570679,,,
3120059,825,75571504,,,
3120071,900,75572404,,,
3120903,825,75573229,,,
3121019,975,75574204,,,
3121281,975,75575179,,,
3121405,450,75575629,,,
3122237,600,75576229,,,
3123775,1650,75577879,,,
3124867,825,75578704,,,
3126075,600,75579304,,,
3126087,1875,75581179,,,
3127175,825,75582004,,,
3127291,900,75582904,,,
3127685,600,75583504,,,
3127801,600,75584104,,,
3128633,825,75584929,,,
3128645,1050,75585979,,,
3130141,900,75586879,,,
3130209,1875,75588754,,,
3131297,825,75589579,,,
3131357,450,75590029,,,
3131811,825,75590854,,,
3131871,600,75591454,,,
3132703,1050,75592504,,,
3132771,1875,75594379,,,
3133607,525,75594904,,,
3133659,1050,75595954,,,
3134567,675,75596629,,,
3136101,750,75597379,,,
3137189,675,75598054,,,
3137241,450,75598504,,,
3137827,675,75599179,,,
3137887,450,75599629,,,
3138975,750,75600379,,,
3139043,675,75601054,,,
3140509,2175,75603229,,,
3140577,600,75603829,,,
3141409,675,75604504,,,
3141469,600,75605104,,,
3142297,750,75605854,,,
3143205,750,75606604,,,
3143257,450,75607054,,,
3143719,825,75607879,,,
3143771,600,75608479,,,
3144859,750,75609229,,,
3146277,675,75609904,,,
3146329,750,75610654,,,
3147493,750,75611404,,,
3148007,1425,75612829,,,
3148891,600,75613429,,,
3150239,675,75614104,,,
3150307,1575,75615679,,,
3151139,975,75616654,,,
3151199,675,75617329,,,
3152673,600,75617929,,,
3152733,450,75618379,,,
3153821,1275,75619654,,,
3153889,1050,75620704,,,
3153947,750,75621454,,,
3155111,900,75622354,,,
3155163,450,75622804,,,
3156645,450,75623254,,,
3157529,1650,75624904,,,
3158945,825,75625729,,,
3159005,450,75626179,,,
3159837,2625,75628804,,,
3159905,975,75629779,,,
3160351,675,75630454,,,
3160419,1050,75631504,,,
3161507,600,75632104,,,
3161567,675,75632779,,,
3163015,900,75633679,,,
3163131,675,75634354,,,
3163963,600,75634954,,,
3163975,900,75635854,,,
3164473,1050,75636904,,,
3164485,1275,75638179,,,
3165573,450,75638629,,,
3165689,675,75639304,,,
3166273,900,75640204,,,
3167361,525,75640729,,,
3167485,1050,75641779,,,
3168899,600,75642379,,,
3169023,900,75643279,,,
3169859,1350,75644629,,,
3170745,1200,75645829,,,
3170757,825,75646654,,,
3171589,525,75647179,,,
3171705,675,75647854,,,
3173127,675,75648529,,,
3173243,675,75649204,,,
3174331,1050,75650254,,,
3174343,900,75651154,,,
3174915,675,75651829,,,
3175039,975,75652804,,,
3176127,1650,75654454,,,
3176637,750,75655204,,,
3177473,825,75656029,,,
3177597,600,75656629,,,
3179194,900,75657529,,,
3179206,825,75658354,,,
3180038,600,75658954,,,
3180548,750,75659704,,,
3181752,525,75660229,,,
3181764,825,75661054,,,
3182848,975,75662029,,,
3182972,1050,75663079,,,
3184060,450,75663529,,,
3184064,675,75664204,,,
3185598,450,75664654,,,
3185602,975,75665629,,,
3186434,1725,75667354,,,
3186558,900,75668254,,,
3186936,1200,75669454,,,
3187768,600,75670054,,,
3187780,750,75670804,,,
3189306,450,75671254,,,
3189318,975,75672229,,,
3190522,825,75673054,,,
3191614,450,75673504,,,
3191618,600,75674104,,,
3192706,1050,75675154,,,
3192830,1800,75676954,,,
3193216,600,75677554,,,
3193340,1650,75679204,,,
3194172,600,75679804,,,
3194176,900,75680704,,,
3195672,450,75681154,,,
3195748,825,75681979,,,
3196836,975,75682954,,,
3196888,750,75683704,,,
3197350,600,75684304,,,
3197402,1200,75685504,,,
3198234,825,75686329,,,
3198310,975,75687304,,,
3199139,900,75688204,,,
3200031,1875,75690079,,,
3200099,825,75690904,,,
3201565,525,75691429,,,
3202721,2025,75693454,,,
3203367,975,75694429,,,
3203419,900,75695329,,,
3204507,825,75696154,,,
3204583,675,75696829,,,
3206041,450,75697279,,,
3206117,600,75697879,,,
3206949,1125,75699004,,,
3207001,1050,75700054,,,
3207837,450,75700504,,,
3207905,825,75701329,,,
3208797,600,75701929,,,
3209311,750,75702679,,,
3210467,975,75703654,,,
3211535,900,75704554,,,
3211635,1500,75706054,,,
3212723,825,75706879,,,
3212751,525,75707404,,,
3214257,600,75708004,,,
3214285,975,75708979,,,
3215117,1050,75710029,,,
3215217,2775,75712804,,,
3216053,600,75713404,,,
3216073,975,75714379,,,
3217013,1500,75715879,,,
3217527,2100,75717979,,,
3218615,975,75718954,,,
3218635,525,75719479,,,
3220273,525,75720004,,,
3220301,825,75720829,,,
3221389,750,75721579,,,
3221489,600,75722179,,,
3221903,975,75723154,,,
3222003,1050,75724204,,,
3222835,825,75725029,,,
3222863,675,75725704,,,
3223691,1125,75726829,,,
3224631,1050,75727879,,,
3224651,450,75728329,,,
3226165,450,75728779,,,
3226185,675,75729454,,,
3227273,1650,75731104,,,
3227857,1200,75732304,,,
3228689,675,75732979,,,
3228781,1350,75734329,,,
3230319,900,75735229,,,
3231443,825,75736054,,,
3232535,975,75737029,,,
3232619,825,75737854,,,
3233707,750,75738604,,,
3233751,750,75739354,,,
3234217,2025,75741379,,,
3234261,1875,75743254,,,
3235093,600,75743854,,,
3235177,525,75744379,,,
3236499,1200,75745579,,,
3236591,975,75746554,,,
3237423,1050,75747604,,,
3237933,1350,75748954,,,
3239057,975,75749929,,,
3240233,1125,75751054,,,
3240277,600,75751654,,,
3241365,975,75752629,,,
3241449,675,75753304,,,
3242903,675,75753979,,,
3242987,825,75754804,,,
3243819,825,75755629,,,
3243863,975,75756604,,,
3244434,1125,75757729,,,
3244526,825,75758554,,,
3245358,675,75759229,,,
3245394,450,75759679,,,
3246896,525,75760204,,,
3246932,450,75760654,,,
3248020,1800,75762454,,,
3248112,1050,75763504,,,
3248684,1425,75764929,,,
3248728,975,75765904,,,
3249816,1125,75767029,,,
3250326,1350,75768379,,,
3251242,675,75769054,,,
3253168,675,75769729,,,
3253204,825,75770554,,,
3254036,900,75771454,,,
3254128,900,75772354,,,
3254546,1350,75773704,,,
3254638,750,75774454,,,
3255726,675,75775129,,,
3255762,675,75775804,,,
3256426,675,75776479,,,
3257514,675,75777154,,,
3257558,900,75778054,,,
3259096,675,75778729,,,
3260012,900,75779629,,,
3260468,1125,75780754,,,
3261584,825,75781579,,,
3261684,975,75782554,,,
3263118,525,75783079,,,
3263218,975,75784054,,,
3264050,1200,75785254,,,
3265418,975,75786229,,,
3265526,825,75787054,,,
3266358,900,75787954,,,
3266378,2475,75790429,,,
3266872,675,75791104,,,
3266892,750,75791854,,,
3267980,975,75792829,,,
3268088,600,75793429,,,
3269134,450,75793879,,,
3269234,1350,75795229,,,
3270350,1950,75797179,,,
3270864,600,75797779,,,
3271696,525,75798304,,,
3271796,675,75798979,,,
3273144,975,75799954,,,
3273164,900,75800854,,,
3273996,975,75801829,,,
3274104,825,75802654,,,
3275530,825,75803479,,,
3275638,600,75804079,,,
3276726,2025,75806104,,,
3276746,900,75807004,,,
3277327,450,75807454,,,
3277427,900,75808354,,,
3278515,825,75809179,,,
3279025,1725,75810904,,,
3279885,1200,75812104,,,
3279985,450,75812554,,,
3281333,1425,75813979,,,
3281353,900,75814879,,,
3282185,900,75815779,,,
3282293,600,75816379,,,
3283723,450,75816829,,,
3283831,825,75817654,,,
3284919,1125,75818779,,,
3284939,1575,75820354,,,
3285069,975,75821329,,,
3286157,975,75822304,,,
3286257,450,75822754,,,
3287695,675,75823429,,,
3287795,975,75824404,,,
3288655,1050,75825454,,,
3289995,600,75826054,,,
3290103,825,75826879,,,
3290935,1800,75828679,,,
3290955,1275,75829954,,,
3291445,1575,75831529,,,
3291465,2025,75833554,,,
3292553,675,75834229,,,
3292661,525,75834754,,,
3294125,675,75835429,,,
3294161,825,75836254,,,
3294993,1650,75837904,,,
3295085,1875,75839779,,,
3295507,675,75840454,,,
3295599,1200,75841654,,,
3296687,825,75842479,,,
3296723,825,75843304,,,
3297303,675,75843979,,,
3298475,900,75844879,,,
3300009,900,75845779,,,
3300053,675,75846454,,,
3300885,2100,75848554,,,
3301779,825,75849379,,,
3301871,675,75850054,,,
3302703,675,75850729,,,
3302739,825,75851554,,,
3304237,975,75852529,,,
3304273,825,75853354,,,
3305361,1575,75854929,,,
3305453,750,75855679,,,
3306069,825,75856504,,,
3307241,1575,75858079,,,
3307755,900,75858979,,,
3308587,675,75859654,,,
3308631,1275,75860929,,,
3310318,525,75861454,,,
3311186,1125,75862579,,,
3311700,1500,75864079,,,
3311891,1,75864080,,,
3311892,151,75864231,,,
3312788,675,75864906,,,
3312880,900,75865806,,,
3313964,1200,75867006,,,
3314008,1125,75868131,,,
3315096,825,75868956,,,
3315180,975,75869931,,,
3316630,675,75870606,,,
3316714,825,75871431,,,
3317546,1050,75872481,,,
3317590,2175,75874656,,,
3317936,1125,75875781,,,
3318804,675,75876456,,,
3320338,750,75877206,,,
3320430,825,75878031,,,
3321518,675,75878706,,,
3322646,525,75879231,,,
3322730,450,75879681,,,
3323818,1650,75881331,,,
3323862,1125,75882456,,,
3324332,975,75883431,,,
3324376,2100,75885531,,,
3325208,825,75886356,,,
3325292,600,75886956,,,
3326772,825,75887781,,,
3326800,450,75888231,,,
3327888,975,75889206,,,
3327988,600,75889806,,,
3328398,900,75890706,,,
3328498,1875,75892581,,,
3329330,825,75893406,,,
3329358,675,75894081,,,
3330294,1125,75895206,,,
3331126,525,75895731,,,
3331146,825,75896556,,,
3332664,675,75897231,,,
3332684,1425,75898656,,,
3333880,600,75899256,,,
3334414,1125,75900381,,,
3334514,1725,75902106,,,
3335602,975,75903081,,,
3335630,600,75903681,,,
3337140,825,75904506,,,
3337168,825,75905331,,,
3338000,1275,75906606,,,
3338100,1275,75907881,,,
3338936,675,75908556,,,
3338956,675,75909231,,,
3339788,600,75909831,,,
3340298,1350,75911181,,,
3341494,825,75912006,,,
3341514,975,75912981,,,
3342630,825,75913806,,,
3342682,1050,75914856,,,
3343770,675,75915531,,,
3343846,600,75916131,,,
3345308,600,75916731,,,
3345384,525,75917256,,,
3346216,1275,75918531,,,
3346268,1200,75919731,,,
3347104,825,75920556,,,
3348004,750,75921306,,,
3348514,750,75922056,,,
3349662,1725,75923781,,,
3349730,600,75924381,,,
3351324,525,75924906,,,
3351400,675,75925581,,,
3352488,1500,75927081,,,
3352540,1425,75928506,,,
3352998,1125,75929631,,,
3353050,1650,75931281,,,
3353882,450,75931731,,,
3353958,525,75932256,,,
3354846,1650,75933906,,,
3355746,675,75934581,,,
3357216,450,75935031,,,
3357284,1350,75936381,,,
3358432,825,75937206,,,
3358856,825,75938031,,,
3359804,525,75938556,,,
3359816,825,75939381,,,
3361338,525,75939906,,,
3361350,600,75940506,,,
3362438,750,75941256,,,
3363646,525,75941781,,,
3363650,675,75942456,,,
3364738,600,75943056,,,
3364862,675,75943731,,,
3365252,975,75944706,,,
3365376,675,75945381,,,
3366208,825,75946206,,,
3366212,450,75946656,,,
3367610,825,75947481,,,
3367622,450,75947931,,,
3368570,1200,75949131,,,
3369084,975,75950106,,,
3370172,975,75951081,,,
3370184,900,75951981,,,
3371268,1200,75953181,,,
3371392,750,75953931,,,
3372480,675,75954606,,,
3372484,600,75955206,,,
3374014,450,75955656,,,
3374018,675,75956331,,,
3374850,600,75956931,,,
3374974,675,75957606,,,
3375547,675,75958281,,,
3375559,675,75958956,,,
3376391,975,75959931,,,
3376507,600,75960531,,,
3377925,675,75961206,,,
3378041,450,75961656,,,
3379129,825,75962481,,,
3379141,2025,75964506,,,
3379713,675,75965181,,,
3379837,450,75965631,,,
3380929,675,75966306,,,
3381443,1425,75967731,,,
3382275,675,75968406,,,
3382399,600,75969006,,,
3384197,675,75969681,,,
3384313,525,75970206,,,
3385145,1575,75971781,,,
3385157,900,75972681,,,
3385659,900,75973581,,,
3385671,750,75974331,,,
3386759,900,75975231,,,
3386875,525,75975756,,,
3387455,1575,75977331,,,
3388547,675,75978006,,,
3388671,600,75978606,,,
3390081,1425,75980031,,,
3390205,450,75980481,,,
3391037,675,75981156,,,
3391589,750,75981906,,,
3392729,600,75982506,,,
3394215,825,75983331,,,
3394267,1575,75984906,,,
3395175,1350,75986256,,,
3396515,975,75987231,,,
3396575,975,75988206,,,
3397407,825,75989031,,,
3397475,600,75989631,,,
3397917,675,75990306,,,
3397985,975,75991281,,,
3399073,450,75991731,,,
3399133,675,75992406,,,
3400231,675,75993081,,,
3401371,1500,75994581,,,
3401881,900,75995481,,,
3402789,825,75996306,,,
3402841,450,75996756,,,
3404189,1350,75998106,,,
3404257,900,75999006,,,
3405089,450,75999456,,,
3405149,600,76000056,,,
3406627,900,76000956,,,
3406687,675,76001631,,,
3407775,1350,76002981,,,
3407843,750,76003731,,,
3408150,450,76004181,,,
3408234,600,76004781,,,
3409322,1050,76005831,,,
3409366,1425,76007256,,,
3410856,1200,76008456,,,
3410900,1650,76010106,,,
3411732,525,76010631,,,
3411816,600,76011231,,,
3412486,152,76011383,,,
3412688,900,76012283,,,
3413612,450,76012733,,,
3414034,525,76013258,,,
3414126,675,76013933,,,
3415250,750,76014683,,,
3416872,825,76015508,,,
3416916,750,76016258,,,
3418004,600,76016858,,,
3418088,600,76017458,,,
3418518,525,76017983,,,
3418602,675,76018658,,,
3419434,1200,76019858,,,
3419478,1350,76021208,,,
3420306,600,76021808,,,
3421230,900,76022708,,,
3421432,836,76023544,,,
3422764,900,76024444,,,
3423888,600,76025044,,,
3423980,600,76025644,,,
3424436,450,76026094,,,
3424456,600,76026694,,,
3425396,1200,76027894,,,
3426934,750,76028644,,,
3428022,825,76029469,,,
3428042,450,76029919,,,
3429134,1575,76031494,,,
3429234,1200,76032694,,,
3430322,825,76033519,,,
3430350,600,76034119,,,
3430832,450,76034569,,,
3430860,825,76035394,,,
3431692,750,76036144,,,
3431792,1350,76037494,,,
3432660,1216,76038710,,,
3433098,750,76039460,,,
3434038,675,76040135,,,
3434058,450,76040585,,,
3434548,450,76041035,,,
3434568,975,76042010,,,
3435656,675,76042685,,,
3436848,450,76043135,,,
3436876,825,76043960,,,
3437964,1350,76045310,,,
3438064,1650,76046960,,,
3439502,1200,76048160,,,
3439602,900,76049060,,,
3440434,675,76049735,,,
3440462,600,76050335,,,
3441033,525,76050860,,,
3441141,450,76051310,,,
3441973,1125,76052435,,,
3441993,1125,76053560,,,
3443511,1438,76054998,,,
3443531,2550,76057548,,,
3444619,825,76058373,,,
3444727,600,76058973,,,
3445299,1650,76060623,,,
3446415,450,76061073,,,
3446515,675,76061748,,,
3446925,450,76062198,,,
3447025,525,76062723,,,
3447857,1050,76063773,,,
3447885,681,76064454,,,
3449783,900,76065354,,,
3449803,975,76066329,,,
3450635,525,76066854,,,
3450743,450,76067304,,,
3451145,675,76067979,,,
3451253,450,76068429,,,
3452341,600,76069029,,,
3452361,975,76070004,,,
3453041,675,76070679,,,
3454157,1125,76071804,,,
3455695,900,76072704,,,
3456527,450,76073154,,,
3456627,825,76073979,,,
3457067,600,76074579,,,
3458199,1275,76075854,,,
3459733,1350,76077204,,,
3460649,825,76078029,,,
3460693,675,76078704,,,
3462033,750,76079454,,,
3462125,825,76080279,,,
3462957,675,76080954,,,
3462993,450,76081404,,,
3463471,675,76082079,,,
3463507,525,76082604,,,
3464595,1200,76083804,,,
3464687,1425,76085229,,,
3465834,600,76085829,,,
3466966,675,76086504,,,
3467436,675,76087179,,,
3467480,900,76088079,,,
3468396,1350,76089429,,,
3469744,525,76089954,,,
3469780,600,76090554,,,
3470612,1350,76091904,,,
3470704,825,76092729,,,
3472146,1950,76094679,,,
3472238,750,76095429,,,
3473326,450,76095879,,,
3473362,450,76096329,,,
3473440,1216,76097545,,,
3473986,1125,76098670,,,
3475074,975,76099645,,,
3475198,825,76100470,,,
3475265,1,76100471,,,
3475266,66575,76167046,,,
3475588,450,76167496,,,
3475712,975,76168471,,,
3476548,1350,76169821,,,
3477896,675,76170496,,,
3478012,450,76170946,,,
3478844,1275,76172221,,,
3478856,2925,76175146,,,
3480378,1200,76176346,,,
3480390,1800,76178146,,,
3481478,675,76178821,,,
3481594,675,76179496,,,
3481604,600,76180096,,,
3481728,675,76180771,,,
3482816,900,76181671,,,
3484350,900,76182571,,,
3485186,975,76183546,,,
3485310,600,76184146,,,
3486650,1875,76186021,,,
3486662,1350,76187371,,,
3487494,675,76188046,,,
3487610,900,76188946,,,
3488008,600,76189546,,,
3488124,450,76189996,,,
3489212,1425,76191421,,,
3489224,1575,76192996,,,
3490720,1350,76194346,,,
3490788,1500,76195846,,,
3491620,675,76196521,,,
3491680,450,76196971,,,
3492130,675,76197646,,,
3492190,675,76198321,,,
3493278,975,76199296,,,
3493346,1125,76200421,,,
3493978,675,76201096,,,
3494964,1064,76202160,,,
3495142,900,76203060,,,
3496680,1125,76204185,,,
3497512,675,76204860,,,
3497564,1875,76206735,,,
3498402,675,76207410,,,
3498462,525,76207935,,,
3499294,900,76208835,,,
3499362,1350,76210185,,,
3500832,900,76211085,,,
3500900,1950,76213035,,,
3501988,675,76213710,,,
3502048,675,76214385,,,
3502620,975,76215360,,,
3503784,675,76216035,,,
3504294,1350,76217385,,,
